EAR,MAR,TIME
0.26110501213004284,0.06666666666666667,09:24:10.461557
0.26110501213004284,0.06666666666666667,09:24:10.461557
0.21559803428102864,0.11380711874576983,09:24:11.135072
0.26110501213004284,0.06666666666666667,09:24:10.461557
0.21559803428102864,0.11380711874576983,09:24:11.135072
0.30457402037362274,0.03333333333333333,09:24:11.742182
0.26110501213004284,0.06666666666666667,09:24:10.461557
0.21559803428102864,0.11380711874576983,09:24:11.135072
0.30457402037362274,0.03333333333333333,09:24:11.742182
0.3201308648469992,0.1414213562373095,09:24:12.333152
0.26110501213004284,0.06666666666666667,09:24:10.461557
0.21559803428102864,0.11380711874576983,09:24:11.135072
0.30457402037362274,0.03333333333333333,09:24:11.742182
0.3201308648469992,0.1414213562373095,09:24:12.333152
0.3257094553324162,0.12761423749153966,09:24:12.933682
0.26110501213004284,0.06666666666666667,09:24:10.461557
0.21559803428102864,0.11380711874576983,09:24:11.135072
0.30457402037362274,0.03333333333333333,09:24:11.742182
0.3201308648469992,0.1414213562373095,09:24:12.333152
0.3257094553324162,0.12761423749153966,09:24:12.933682
0.3224718066557094,0.11380711874576983,09:24:13.606690
0.26110501213004284,0.06666666666666667,09:24:10.461557
0.21559803428102864,0.11380711874576983,09:24:11.135072
0.30457402037362274,0.03333333333333333,09:24:11.742182
0.3201308648469992,0.1414213562373095,09:24:12.333152
0.3257094553324162,0.12761423749153966,09:24:12.933682
0.3224718066557094,0.11380711874576983,09:24:13.606690
0.3303052668087847,0.11380711874576983,09:24:14.198730
0.26110501213004284,0.06666666666666667,09:24:10.461557
0.21559803428102864,0.11380711874576983,09:24:11.135072
0.30457402037362274,0.03333333333333333,09:24:11.742182
0.3201308648469992,0.1414213562373095,09:24:12.333152
0.3257094553324162,0.12761423749153966,09:24:12.933682
0.3224718066557094,0.11380711874576983,09:24:13.606690
0.3303052668087847,0.11380711874576983,09:24:14.198730
0.3323962473052441,0.03333333333333333,09:24:14.792785
0.26110501213004284,0.06666666666666667,09:24:10.461557
0.21559803428102864,0.11380711874576983,09:24:11.135072
0.30457402037362274,0.03333333333333333,09:24:11.742182
0.3201308648469992,0.1414213562373095,09:24:12.333152
0.3257094553324162,0.12761423749153966,09:24:12.933682
0.3224718066557094,0.11380711874576983,09:24:13.606690
0.3303052668087847,0.11380711874576983,09:24:14.198730
0.3323962473052441,0.03333333333333333,09:24:14.792785
0.20594157577072925,0.06666666666666667,09:24:15.463737
